M,ebn0_db,theory_bit,theory_symb,sim_bit,sim_symb
2,0,0.15865525393145707,0.15865525393145707,0.28652609540900253,0.28652609540900253
2,1,0.1309272967555245,0.1309272967555245,0.2534270475051094,0.2534270475051094
2,2,0.10402863708538868,0.10402863708538868,0.22351826927869997,0.22351826927869997
2,3,0.07889587198172443,0.07889587198172443,0.1798763770499975,0.1798763770499975
2,4,0.05649530174936167,0.05649530174936167,0.14199192462987886,0.14199192462987886
2,5,0.03767898814746343,0.03767898814746343,0.09962115547579882,0.09962115547579882
2,6,0.023007138877866026,0.023007138877866026,0.06669657544489307,0.06669657544489307
2,7,0.012587033122144622,0.012587033122144622,0.03584068590798066,0.03584068590798066
2,8,0.006004386400163564,0.006004386400163564,0.018219430736254424,0.018219430736254424
2,9,0.0024133104196338647,0.0024133104196338647,0.008424305867105328,0.008424305867105328
2,10,0.000782701129001274,0.000782701129001274,0.003339813568615722,0.003339813568615722
4,0,0.15729920705028516,0.23594881057542774,0.2708489108219929,0.42174259794636626
4,1,0.11256390395308295,0.16884585592962442,0.2365535117890434,0.36795932608912374
4,2,0.07501225671785197,0.11251838507677796,0.1912915607397438,0.2957830724753265
4,3,0.04575681512217069,0.06863522268325603,0.1469019490553811,0.22774399361977868
4,4,0.025001636081475136,0.0375024541222127,0.10587707492148946,0.1619479613199083
4,5,0.011907734295557325,0.017861601443335987,0.07375006230995464,0.11230186422091516
4,6,0.004776581561865614,0.007164872342798421,0.04456407955735008,0.06619479613199084
4,7,0.0015453496307568891,0.0023180244461353337,0.025272917601315985,0.0366364270760642
4,8,0.0003818155481519863,0.0005727233222279795,0.013384178256318229,0.01899112750473532
4,9,6.72544568392352e-05,0.0001008816852588528,0.006455311300533373,0.009071877180739707
4,10,7.7442164310441e-06,1.1616324646566149e-05,0.00309057375006231,0.004236971313211873
8,0,0.16652903332710092,0.2914258083224266,0.27800209361447586,0.5244504262000897
8,1,0.10393739206726713,0.18189043611771746,0.2318179552365286,0.4404815313294452
8,2,0.05843746482897155,0.10226556345070022,0.19071830915707094,0.36055032151936595
8,3,0.02884321382533376,0.05047562419433408,0.14774936443846268,0.278450725287872
8,4,0.012097919626501445,0.021171359346377528,0.10998953192762076,0.20450127112307462
8,5,0.004139034976656656,0.007243311209149148,0.0704600967050496,0.13159862419620158
8,6,0.0010969349912884239,0.0019196362347547419,0.04319326055530632,0.07851054284432481
8,7,0.00021100236207940165,0.0003692541336389529,0.026120332984397587,0.04546134290414237
8,8,2.7138875527143833e-05,4.749303217250171e-05,0.011016399980060815,0.018917302228203977
8,9,2.1047582928051388e-06,3.683327012408993e-06,0.005682667863017796,0.009944668760281142
8,10,8.640926115655013e-08,1.5121620702396273e-07,0.001482976920392802,0.0025422461492448033
16,0,0.18200105558543372,0.34125197922268824,0.28949204924978816,0.6234672515202871
16,1,0.09932010683288067,0.18622520031165127,0.248940730771148,0.5461070680889243
16,2,0.04722932694924213,0.088554988029829,0.2062459498529485,0.45548798723955736
16,3,0.018907814808751842,0.0354521527664097,0.14530681421663924,0.33665636526767023
16,4,0.006102041736761657,0.011441328256428107,0.10664971835900504,0.24324593759346028
16,5,0.001502977524864667,0.0028180828591212507,0.06335676187627735,0.14724354501046755
16,6,0.00026370920793468167,0.0004944547648775281,0.034893574597477696,0.08274349516498854
16,7,3.0217057523237596e-05,5.665698285607049e-05,0.018368974627386472,0.04167082045658459
16,8,2.0266461781509724e-06,3.7999615840330733e-06,0.006579931209810079,0.015153025620576214
16,9,6.930937704253829e-08,1.299550819547593e-07,0.0028288719405812272,0.0064300667929418805
16,10,1.0158514357883427e-09,1.9047214421031425e-09,0.0005607895917451772,0.001252422284393323
