M,ebn0_db,theory_bit,theory_symb,sim_bit,sim_symb
2,0,0.07864960352514258,0.07864960352514258,0.07756343153382185,0.07756343153382185
2,1,0.05628195197654147,0.05628195197654147,0.05543093564627885,0.05543093564627885
2,2,0.037506128358925986,0.037506128358925986,0.03686256916404965,0.03686256916404965
2,3,0.02287840756108534,0.02287840756108534,0.02330392303474403,0.02330392303474403
2,4,0.012500818040737566,0.012500818040737566,0.011813967399431732,0.011813967399431732
2,5,0.005953867147778662,0.005953867147778662,0.00618114750012462,0.00618114750012462
2,6,0.002388290780932807,0.002388290780932807,0.00246747420367878,0.00246747420367878
2,7,0.0007726748153784446,0.0007726748153784446,0.0007726434375155775,0.0007726434375155775
2,8,0.00019090777407599314,0.00019090777407599314,0.00016667912865759432,0.00016667912865759432
2,9,3.36272284196176e-05,3.36272284196176e-05,3.0181349016730594e-05,3.0181349016730594e-05
2,10,3.87210821552205e-06,3.87210821552205e-06,,
4,0,0.07864960352514258,0.15729920705028516,0.07980658990080255,0.15313294451921639
4,1,0.05628195197654147,0.11256390395308294,0.055705099446687605,0.10812023328847016
4,2,0.037506128358925986,0.07501225671785197,0.038283236129804096,0.0754199690942625
4,3,0.022878407561085327,0.045756815122170655,0.022606051542794478,0.04486316733961418
4,4,0.012500818040737553,0.025001636081475105,0.013035242510343452,0.02592094112955486
4,5,0.005953867147778662,0.011907734295557325,0.006430387318678032,0.0127610787099347
4,6,0.002388290780932807,0.004776581561865614,0.002766561985942874,0.005483276008175066
4,7,0.0007726748153784446,0.0015453496307568891,0.0006916404964857185,0.001383280992971437
4,8,0.00019090777407599314,0.0003818155481519863,0.00019627635711081203,0.00039255271422162407
4,9,3.3627228419617505e-05,6.725445683923501e-05,3.42704350125457e-05,6.85408700250914e-05
4,10,3.87210821552205e-06,7.7442164310441e-06,,
8,0,0.1161878553326204,0.3485635659978612,0.12227705498230397,0.3471661432630477
8,1,0.09763706378539523,0.2929111913561857,0.10144060615123872,0.29572304471362343
8,2,0.07932141777736901,0.23796425333210702,0.07975674193709187,0.23523254075071034
8,3,0.0618251345896678,0.1854754037690034,0.06233487862020837,0.1858082847315687
8,4,0.04579094273467243,0.13737282820401728,0.045934898559393846,0.13750560789591745
8,5,0.03184330336407077,0.0955299100922123,0.03195254473854743,0.09585763421564229
8,6,0.020479923891202897,0.06143977167360869,0.01959024973829819,0.05877074921489457
8,7,0.011952769488034592,0.035858308464103775,0.012536762873236629,0.037610288619709886
8,8,0.006181051750685378,0.018543155252056135,0.006280843427545985,0.018842530282637954
8,9,0.00274813352965267,0.00824440058895801,0.002766561985942874,0.008299685957828623
8,10,0.0010113953207128911,0.0030341859621386734,0.0012586610836947312,0.003775983251084193
16,0,0.1452715594824753,0.5810862379299012,0.1725985743482379,0.5820955039377929
16,1,0.13395794547379555,0.5358317818951822,0.1560490503962913,0.5407237563552986
16,2,0.12181498797037182,0.4872599518814873,0.13473904590997457,0.4914764230884259
16,3,0.10893066282228764,0.43572265128915055,0.11422660884302877,0.4288705014455189
16,4,0.0954557764318765,0.381823105727506,0.09979562334878621,0.3858040075765128
16,5,0.08161707600107043,0.32646830400428173,0.08399381885249987,0.3307745987438939
16,6,0.06772598480871872,0.2709039392348749,0.07006131299536414,0.2782374638620277
16,7,0.05417752858915559,0.21671011435662235,0.05480783609989532,0.21902103479214435
16,8,0.04143246526197408,0.16572986104789633,0.041747669607696526,0.16698235470042866
16,9,0.02997578947663146,0.11990315790652584,0.02990877822640945,0.119629149636128
16,10,0.020248789802578354,0.08099515921031342,0.020263197248392404,0.08104874887847673
