char,prob,code,len,ascii
␠,0.146267,101,3,100000
e,0.092699,000,3,1100101
i,0.082807,1111,4,1101001
u,0.075037,1101,4,1110101
s,0.068622,1001,4,1110011
t,0.067855,1000,4,1110100
a,0.065800,0111,4,1100001
l,0.048985,0101,4,1101100
n,0.048547,0100,4,1101110
r,0.045853,0010,4,1110010
m,0.037522,11100,5,1101101
o,0.034951,11000,5,1101111
c,0.033777,01101,5,1100011
d,0.022822,00110,5,1100100
.,0.018989,110011,6,101110
p,0.017505,110010,6,1110000
,,0.013122,011000,6,101100
v,0.012961,001111,6,1110110
g,0.010250,1110111,7,1100111
q,0.010245,1110110,7,1110001
b,0.009897,1110101,7,1100010
f,0.007565,0110011,7,1100110
h,0.004635,11101001,8,1101000
N,0.002638,00111000,8,1001110
P,0.002514,111010001,9,1010000
S,0.002057,011001011,9,1010011
D,0.001949,011001010,9,1000100
M,0.001751,011001001,9,1001101
\n,0.001660,011001000,9,1010
x,0.001587,001110111,9,1111000
I,0.001483,001110101,9,1001001
A,0.001440,001110100,9,1000001
V,0.001402,001110011,9,1010110
C,0.001247,001110010,9,1000011
j,0.000858,1110100000,10,1101010
Q,0.000640,0011101100,10,1010001
F,0.000614,11101000011,11,1000110
U,0.000590,11101000010,11,1010101
E,0.000575,00111011011,11,1000101
O,0.000098,001110110100,12,1001111
;,0.000096,0011101101011,13,111011
L,0.000086,0011101101010,13,1001100
